plot_number,unit_number,facade_style,bedrooms,layout,label,bua,bathrooms,maids_room,ground_floor_bedroom,plex_range,plex_size,street_side,th_position,orientation_margin,style_vote_frac
1,1,bold,4,bold-a,A,2284.3,4.0,True,True,1-10,10,down,1,0.3,1.0
2,2,bold,3,bold-a,A,1959.5,3.5,True,False,1-10,10,down,2,0.3,1.0
3,3,bold,3,bold-b,B,1959.7,3.5,True,False,1-10,10,down,3,0.3,1.0
4,4,bold,3,bold-c,C,1896.0,3.5,True,False,1-10,10,down,4,0.3,1.0
5,5,bold,3,bold-d,D,1928.9,3.5,True,False,1-10,10,down,5,0.3,1.0
6,6,bold,3,bold-a,A,1992.4,3.5,True,False,1-10,10,down,6,0.3,1.0
7,7,bold,3,bold-b,B,1959.0,3.5,True,False,1-10,10,down,7,0.3,1.0
8,8,bold,3,bold-c,C,1898.3,3.5,True,False,1-10,10,down,8,0.3,1.0
9,9,bold,3,bold-d,D,1895.6,3.5,True,False,1-10,10,down,9,0.3,1.0
10,10,bold,4,bold-b,B,2284.3,4.0,True,True,1-10,10,down,10,0.3,1.0
11,11,sleek,4,sleek-a,A,2264.5,4.0,True,True,11-20,10,down,1,0.425,0.8
12,12,sleek,3,sleek-a,A,2009.2,3.5,True,False,11-20,10,down,2,0.425,0.8
13,13,sleek,3,sleek-b,B,2011.1,3.5,True,False,11-20,10,down,3,0.425,0.8
14,14,sleek,3,sleek-c,C,1903.7,3.5,True,False,11-20,10,down,4,0.425,0.8
15,15,sleek,3,sleek-d,D,1938.2,3.5,True,False,11-20,10,down,5,0.425,0.8
16,16,sleek,3,sleek-a,A,2043.8,3.5,True,False,11-20,10,down,6,0.425,0.8
17,17,sleek,3,sleek-b,B,2010.5,3.5,True,False,11-20,10,down,7,0.425,0.8
18,18,sleek,3,sleek-c,C,1903.2,3.5,True,False,11-20,10,down,8,0.425,0.8
19,19,sleek,3,sleek-d,D,1903.0,3.5,True,False,11-20,10,down,9,0.425,0.8
20,20,sleek,4,sleek-b,B,2265.1,4.0,True,True,11-20,10,down,10,0.425,0.8
21,21,bold,4,bold-c,C,2346.3,4.0,True,True,21-28,8,right,1,0.5,1.0
22,22,bold,3,bold-c,C,1899.3,3.5,True,False,21-28,8,right,2,0.5,1.0
23,23,bold,3,bold-d,D,1898.2,3.5,True,False,21-28,8,right,3,0.5,1.0
24,24,bold,3,bold-c,C,1898.2,3.5,True,False,21-28,8,right,4,0.5,1.0
25,25,bold,3,bold-d,D,1898.2,3.5,True,False,21-28,8,right,5,0.5,1.0
26,26,bold,3,bold-c,C,1898.2,3.5,True,False,21-28,8,right,6,0.5,1.0
27,27,bold,3,bold-d,D,1899.3,3.5,True,False,21-28,8,right,7,0.5,1.0
28,28,bold,4,bold-d,D,2346.3,4.0,True,True,21-28,8,right,8,0.5,1.0
29,29,sleek,4,sleek-c,C,2344.7,4.0,True,True,29-36,8,right,1,0.75,1.0
30,30,sleek,3,sleek-c,C,1906.4,3.5,True,False,29-36,8,right,2,0.75,1.0
31,31,sleek,3,sleek-d,D,1905.9,3.5,True,False,29-36,8,right,3,0.75,1.0
32,32,sleek,3,sleek-c,C,1905.9,3.5,True,False,29-36,8,right,4,0.75,1.0
33,33,sleek,3,sleek-d,D,1905.9,3.5,True,False,29-36,8,right,5,0.75,1.0
34,34,sleek,3,sleek-c,C,1905.9,3.5,True,False,29-36,8,right,6,0.75,1.0
35,35,sleek,3,sleek-d,D,1907.2,3.5,True,False,29-36,8,right,7,0.75,1.0
36,36,sleek,4,sleek-d,D,2345.7,4.0,True,True,29-36,8,right,8,0.75,1.0
37,37,bold,4,bold-a,A,2284.4,4.0,True,True,37-42,6,up,1,0.4167,1.0
38,38,bold,3,bold-a,A,1959.5,3.5,True,False,37-42,6,up,2,0.4167,1.0
39,39,bold,3,bold-b,B,1959.8,3.5,True,False,37-42,6,up,3,0.4167,1.0
40,40,bold,3,bold-a,A,1959.8,3.5,True,False,37-42,6,up,4,0.4167,1.0
41,41,bold,3,bold-b,B,1959.5,3.5,True,False,37-42,6,up,5,0.4167,1.0
42,42,bold,4,bold-b,B,2284.4,4.0,True,True,37-42,6,up,6,0.4167,1.0
43,43,bold,4,bold-c,C,2346.3,4.0,True,True,43-50,8,left,1,0.3125,1.0
44,44,bold,3,bold-c,C,1899.3,3.5,True,False,43-50,8,left,2,0.3125,1.0
45,45,bold,3,bold-d,D,1898.2,3.5,True,False,43-50,8,left,3,0.3125,1.0
46,46,bold,3,bold-c,C,1898.2,3.5,True,False,43-50,8,left,4,0.3125,1.0
47,47,bold,3,bold-d,D,1898.2,3.5,True,False,43-50,8,left,5,0.3125,1.0
48,48,bold,3,bold-c,C,1898.2,3.5,True,False,43-50,8,left,6,0.3125,1.0
49,49,bold,3,bold-d,D,1899.3,3.5,True,False,43-50,8,left,7,0.3125,1.0
50,50,bold,4,bold-d,D,2346.3,4.0,True,True,43-50,8,left,8,0.3125,1.0
51,51,sleek,4,sleek-c,C,2344.7,4.0,True,True,51-58,8,left,1,0.5312,1.0
52,52,sleek,3,sleek-c,C,1906.4,3.5,True,False,51-58,8,left,2,0.5312,1.0
53,53,sleek,3,sleek-d,D,1905.9,3.5,True,False,51-58,8,left,3,0.5312,1.0
54,54,sleek,3,sleek-c,C,1905.9,3.5,True,False,51-58,8,left,4,0.5312,1.0
55,55,sleek,3,sleek-d,D,1905.9,3.5,True,False,51-58,8,left,5,0.5312,1.0
56,56,sleek,3,sleek-c,C,1905.9,3.5,True,False,51-58,8,left,6,0.5312,1.0
57,57,sleek,3,sleek-d,D,1907.2,3.5,True,False,51-58,8,left,7,0.5312,1.0
58,58,sleek,4,sleek-d,D,2345.7,4.0,True,True,51-58,8,left,8,0.5312,1.0
59,59,bold,4,bold-c,C,2346.3,4.0,True,True,59-66,8,right,1,0.4375,1.0
60,60,bold,3,bold-c,C,1899.3,3.5,True,False,59-66,8,right,2,0.4375,1.0
